114,"Вот и я к вам. Да милая ж вы моя Василиса Петровна... Ох, напугал -- вот кто здесь!"
519,Чудесная свадьба!
925,"Кто идут? Яшенька, голубчик, милый, спрячь меня, спрячь меня..."
1577,"Вы милый, Антон Игнатьич, вы милый! -- Кто это?"
1585,"Нет, ничего. Милый! Так, не знаю. Алексей звонит из ресторана, там кто-то собрался, просит нас приехать. Весело. Едемте! Я переодеваться не стану -- идем, милый."
1791,"Превосходная женщина эта Маша, моя любимица."
2300,"Да, Николай Сергеевич у вас удивительный человек."
2706,"Вот это - астрономия. Ну, как, звездочет, нравятся вам такие астрономы?"
2707,"Да. Нравятся. Его фамилия, кажется, Трейч?"
2744,"Поллак, милый Поллак! Сегодня так весело! И вы такой хороший человек, такой милый, вас так любят все."
2955,Мне нравятся друзья господина Терновского.
3477,"Тебе чего, милая?"
4028,"Ой, Нина Александровна, милая! Я даже вас на «ты» назвала от радости..."
4033,"Ты, значит, от этого такая веселая?"
4181,"Мама, милая, не надо так... Я ведь сама, сама..."
4952,Очень милый и достойный еврей.
4969,"Им весёлое нужно, Сергей Илларионович. Люди забыться хотят, отдыха..."
5432,"(поправила волосы перед зеркалом. Статная, весёлая, раскрасневшаяся, она ходит по комнате и напевает)."
5749,С приятным заседанием!
5810,"Прощай, милая!"
6575,"ярче день и солнышко теплее,"
6595,Оглянися умными очами.
6617,"Милый, как без радости прожить,"
6650,"Милый мой, мне что-то боязно..."
6685,"Ой? Ой, вернися милый!"
6709,"князя Юрья чадо милое,"
7205,словно в светлой церкви Божией.
7361,"Ах, ты милый жених мой, надежа!"
7619,и какие все чудесные!
7639,и какие все чудесные!
7670,"Не прогневайтеся, милые!"
7895,"Ну теперь идем, мой милый!"
8262,"Милый, ты шепчешь — «склонись...»"
8309,Чудесной.
8336,Мой веселый весенний пир!
8355,"Ах, наша пляска была весела!"
8980,Навстречу веселым моим кораблям!
9868,"Я, пожалуй, князь, да. А что тут удивительного?"
10644,"Искренний человек? А? Ну, ваше счастье, господин Корзухин! Пушной товар! Вон!"
12338,"Здравствуйте, милая Зоя Денисовна."
12586,"Как я рада, милый Борис Семенович!"
12599,"О том, чтобы я развлекался, не может быть и речи... Ай, замечательный художник... Замечательный художник... прямо замечательный."
12615,Замечательный художник.
14108,"На этом балу аристократов счетом пять человек, а несомненный из них только один я."
14993,"Вы умный человек, милостивый государь."
15022,"Ах, милей Жаннеты нету,"
15186,Милейший Журден! Как ваше здоровье?
15391,"Ну что, милый Клеонт?"
15406,"Мало этого сказать, превосходное состояние."
15431,А вот и наш милейший Журден!
15468,"Интересно, каким это следующим блюдом угостит нас наш милейший хозяин?"
15668,"Согласна, милый Дорант!"
15945,"Гей, песнь моя!.. Любимая!.."
15995,А мужички там эти под Трактиром. Вот эти самые милые мужички сочинения графа Льва Толстого!
18436,Замечательный ответ!
20716,"Да, не нравится... ох, не нравится мне Кединский переулок!.. Ну, я пойду в кухню поесть, а то я проголодался."
21059,Что же это за такая чудесная птица?
21654,"Скорее нравится. Да, нравится..."
21966,"Милый, любимый, великий, чудный человек, сиреневый, глазки расцеловать, глазки расцеловать! Какой умный!.."
23075,"Достойна, чтоб о ней крушилась вся вселенна!.."
23426,А в ночь сию она еще милей казалась:
23843,"Превыше светлых звезд, где, с истиной святой"
24647,"О, у него на это талант необыкновенный!"
26182,"Да что! мне, признаюсь, она не нравится."
26395,"Да, приятное занятие."
26401,"Должно быть, веселое будет гулянье."
27205,"Ах, какой приятный!"
28360,"А хочешь нравиться, да?"
28463,Он – ничего. Умный он у вас.
29213,"Заметно, что ежели какой человек приятен мне, так он уж никому не приятен."
29869,"Пора быть умнее, Василий..."
30525,Приятного вам аппетиту!..
30543,"Веселый ты, Костянтин... приятный!"
31705,"Умная вы, мамаша..."
31965,"Дядя, вы здесь самый умный..."
33069,"Рядиться, нравиться, приятной, ловкой быть,"
33226,Разлучает с милым нас!
33235,Ты пастушек всех милее!
33338,"Надеюсь, для тебя всего милее света,"
33420,Такой ли женщине приятен пересказчик?
33669,"""Эльмира, милый друг! но так и быть; и дело"
34244,"Ах! нет, надеждами я мало избалован."
34312,Вы что-то не весёлы стали;
34318,Не весел я!.. В мои лета
34849,"Игольничек и ножинки, как милы!"
34868,Кто наконец ей мил? Молчалин! Скалозуб!
34885,Кто более вам мил?
34917,Что стали умны хоть куда.
34938,"Нет! нет! пускай умен, час от часу умнее;"
34996,Чудеснейшего свойства
35212,Ах! как мил!
35406,"Ну, милый друг, с тобой не надобно газет,"
35704,С умнейшими!! — Всю ночь не рыщу напролет.
35758,"Левон и Боринька, чудесные ребята!"
35885,"Умнее всех, и даже князь-Петра!"
35972,"Пригож и мил, кто не доест"
36544,"В их радостях разнообразных,"
36569,"Какой ты умный, Актеон!"
36783,Да будет жизнь твоя светла!
36840,"Я достоин,"
36885,"Быть может, он меня достоин:"
36938,"Нас двух достойнее, поверь."
36994,"Промолвил: «Милому надень,"
